"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2004","4,233.00","4,233.00","4,233.00","4,233.00","","0.31%"
"09/17/2004","4,220.00","4,220.00","4,220.00","4,220.00","","0.14%"
"09/16/2004","4,214.00","4,214.00","4,214.00","4,214.00","","0.14%"
"09/15/2004","4,208.00","4,208.00","4,208.00","4,208.00","","0.07%"
"09/14/2004","4,205.00","4,205.00","4,205.00","4,205.00","","0.31%"
"09/13/2004","4,192.00","4,192.00","4,192.00","4,192.00","","0.70%"
"09/10/2004","4,163.00","4,163.00","4,163.00","4,163.00","","1.31%"
"09/09/2004","4,109.00","4,109.00","4,109.00","4,109.00","","1.31%"
"09/08/2004","4,056.00","4,056.00","4,056.00","4,056.00","","0.95%"
"09/07/2004","4,018.00","4,018.00","4,018.00","4,018.00","","0.10%"
"09/06/2004","4,014.00","4,014.00","4,014.00","4,014.00","","-0.64%"
"09/03/2004","4,040.00","4,040.00","4,040.00","4,040.00","","-0.91%"
"09/02/2004","4,077.00","4,077.00","4,077.00","4,077.00","","-1.38%"
"09/01/2004","4,134.00","4,134.00","4,134.00","4,134.00","","-1.24%"
"08/31/2004","4,186.00","4,186.00","4,186.00","4,186.00","","-0.92%"
"08/27/2004","4,225.00","4,225.00","4,225.00","4,225.00","","-0.19%"
"08/26/2004","4,233.00","4,233.00","4,233.00","4,233.00","","0.21%"
"08/25/2004","4,224.00","4,224.00","4,224.00","4,224.00","","0.26%"
"08/24/2004","4,213.00","4,213.00","4,213.00","4,213.00","","0.17%"
"08/23/2004","4,206.00","4,206.00","4,206.00","4,206.00","","0.26%"
"08/20/2004","4,195.00","4,195.00","4,195.00","4,195.00","","0.05%"
"08/19/2004","4,193.00","4,193.00","4,193.00","4,193.00","","0.12%"
"08/18/2004","4,188.00","4,188.00","4,188.00","4,188.00","","0.19%"
"08/17/2004","4,180.00","4,180.00","4,180.00","4,180.00","","0.46%"
"08/16/2004","4,161.00","4,161.00","4,161.00","4,161.00","","0.31%"
"08/13/2004","4,148.00","4,148.00","4,148.00","4,148.00","","0.68%"
"08/12/2004","4,120.00","4,120.00","4,120.00","4,120.00","","0.54%"
"08/11/2004","4,098.00","4,098.00","4,098.00","4,098.00","","0.24%"
"08/10/2004","4,088.00","4,088.00","4,088.00","4,088.00","","-0.29%"
"08/09/2004","4,100.00","4,100.00","4,100.00","4,100.00","","-0.70%"
"08/06/2004","4,129.00","4,129.00","4,129.00","4,129.00","","-1.22%"
"08/05/2004","4,180.00","4,180.00","4,180.00","4,180.00","","-0.59%"
"08/04/2004","4,205.00","4,205.00","4,205.00","4,205.00","","0.67%"
"08/03/2004","4,177.00","4,177.00","4,177.00","4,177.00","","1.88%"
"08/02/2004","4,100.00","4,100.00","4,100.00","4,100.00","","1.28%"
"07/30/2004","4,048.00","4,048.00","4,048.00","4,048.00","","2.40%"
"07/29/2004","3,953.00","3,953.00","3,953.00","3,953.00","","1.96%"
"07/28/2004","3,877.00","3,877.00","3,877.00","3,877.00","","1.17%"
"07/27/2004","3,832.00","3,832.00","3,832.00","3,832.00","","0.47%"
"07/26/2004","3,814.00","3,814.00","3,814.00","3,814.00","","0.39%"
"07/23/2004","3,799.00","3,799.00","3,799.00","3,799.00","","-0.03%"
"07/22/2004","3,800.00","3,800.00","3,800.00","3,800.00","","-1.07%"
"07/21/2004","3,841.00","3,841.00","3,841.00","3,841.00","","-1.21%"
"07/20/2004","3,888.00","3,888.00","3,888.00","3,888.00","","-1.07%"
"07/19/2004","3,930.00","3,930.00","3,930.00","3,930.00","","-1.03%"
"07/16/2004","3,971.00","3,971.00","3,971.00","3,971.00","","-1.24%"
"07/15/2004","4,021.00","4,021.00","4,021.00","4,021.00","","-1.16%"
"07/14/2004","4,068.00","4,068.00","4,068.00","4,068.00","","-0.44%"
"07/13/2004","4,086.00","4,086.00","4,086.00","4,086.00","","1.52%"
"07/12/2004","4,025.00","4,025.00","4,025.00","4,025.00","","3.15%"
"07/09/2004","3,902.00","3,902.00","3,902.00","3,902.00","","5.01%"
"07/08/2004","3,716.00","3,716.00","3,716.00","3,716.00","","4.82%"
"07/07/2004","3,545.00","3,545.00","3,545.00","3,545.00","","4.26%"
"07/06/2004","3,400.00","3,400.00","3,400.00","3,400.00","","3.44%"
"07/05/2004","3,287.00","3,287.00","3,287.00","3,287.00","","2.49%"
"07/02/2004","3,207.00","3,207.00","3,207.00","3,207.00","","2.95%"
"07/01/2004","3,115.00","3,115.00","3,115.00","3,115.00","","3.66%"
"06/30/2004","3,005.00","3,005.00","3,005.00","3,005.00","","3.80%"
"06/29/2004","2,895.00","2,895.00","2,895.00","2,895.00","","2.95%"
"06/28/2004","2,812.00","2,812.00","2,812.00","2,812.00","","2.55%"
"06/25/2004","2,742.00","2,742.00","2,742.00","2,742.00","","2.24%"
"06/24/2004","2,682.00","2,682.00","2,682.00","2,682.00","","1.90%"
"06/23/2004","2,632.00","2,632.00","2,632.00","2,632.00","","0.38%"
"06/22/2004","2,622.00","2,622.00","2,622.00","2,622.00","","-0.46%"
"06/21/2004","2,634.00","2,634.00","2,634.00","2,634.00","","-1.24%"
"06/18/2004","2,667.00","2,667.00","2,667.00","2,667.00","","-1.88%"
"06/17/2004","2,718.00","2,718.00","2,718.00","2,718.00","","-1.59%"
"06/16/2004","2,762.00","2,762.00","2,762.00","2,762.00","","-1.71%"
"06/15/2004","2,810.00","2,810.00","2,810.00","2,810.00","","-1.37%"
"06/14/2004","2,849.00","2,849.00","2,849.00","2,849.00","","-1.32%"
"06/11/2004","2,887.00","2,887.00","2,887.00","2,887.00","","-1.77%"
"06/10/2004","2,939.00","2,939.00","2,939.00","2,939.00","","-2.23%"
"06/09/2004","3,006.00","3,006.00","3,006.00","3,006.00","","-1.99%"
"06/08/2004","3,067.00","3,067.00","3,067.00","3,067.00","","-2.14%"
"06/07/2004","3,134.00","3,134.00","3,134.00","3,134.00","","-1.60%"
"06/04/2004","3,185.00","3,185.00","3,185.00","3,185.00","","-1.67%"
"06/03/2004","3,239.00","3,239.00","3,239.00","3,239.00","","-0.83%"
"06/02/2004","3,266.00","3,266.00","3,266.00","3,266.00","","-0.49%"
"06/01/2004","3,282.00","3,282.00","3,282.00","3,282.00","","-0.12%"
"05/28/2004","3,286.00","3,286.00","3,286.00","3,286.00","","-0.06%"
"05/27/2004","3,288.00","3,288.00","3,288.00","3,288.00","","-0.60%"
"05/26/2004","3,308.00","3,308.00","3,308.00","3,308.00","","-0.57%"
"05/25/2004","3,327.00","3,327.00","3,327.00","3,327.00","","-0.12%"
"05/24/2004","3,331.00","3,331.00","3,331.00","3,331.00","","-0.15%"
"05/21/2004","3,336.00","3,336.00","3,336.00","3,336.00","","-0.36%"
"05/20/2004","3,348.00","3,348.00","3,348.00","3,348.00","","-1.27%"
"05/19/2004","3,391.00","3,391.00","3,391.00","3,391.00","","-1.77%"
"05/18/2004","3,452.00","3,452.00","3,452.00","3,452.00","","-2.35%"
"05/17/2004","3,535.00","3,535.00","3,535.00","3,535.00","","-2.83%"
"05/14/2004","3,638.00","3,638.00","3,638.00","3,638.00","","-2.91%"
"05/13/2004","3,747.00","3,747.00","3,747.00","3,747.00","","-2.09%"
"05/12/2004","3,827.00","3,827.00","3,827.00","3,827.00","","-1.87%"
"05/11/2004","3,900.00","3,900.00","3,900.00","3,900.00","","-0.71%"
"05/10/2004","3,928.00","3,928.00","3,928.00","3,928.00","","0.10%"
"05/07/2004","3,924.00","3,924.00","3,924.00","3,924.00","","0.36%"
"05/06/2004","3,910.00","3,910.00","3,910.00","3,910.00","","0.03%"
"05/05/2004","3,909.00","3,909.00","3,909.00","3,909.00","","-0.61%"
"05/04/2004","3,933.00","3,933.00","3,933.00","3,933.00","","-1.23%"
"04/30/2004","3,982.00","3,982.00","3,982.00","3,982.00","","0.00%"
"04/29/2004","3,982.00","3,982.00","3,982.00","3,982.00","","-2.02%"
"04/28/2004","4,064.00","4,064.00","4,064.00","4,064.00","","-3.90%"
"04/27/2004","4,229.00","4,229.00","4,229.00","4,229.00","","-3.18%"
"04/26/2004","4,368.00","4,368.00","4,368.00","4,368.00","","-2.08%"
"04/23/2004","4,461.00","4,461.00","4,461.00","4,461.00","","-1.85%"
"04/22/2004","4,545.00","4,545.00","4,545.00","4,545.00","","-1.54%"
"04/21/2004","4,616.00","4,616.00","4,616.00","4,616.00","","-0.52%"
"04/20/2004","4,640.00","4,640.00","4,640.00","4,640.00","","0.11%"
"04/19/2004","4,635.00","4,635.00","4,635.00","4,635.00","","0.54%"
"04/16/2004","4,610.00","4,610.00","4,610.00","4,610.00","","0.44%"
"04/15/2004","4,590.00","4,590.00","4,590.00","4,590.00","","0.42%"
"04/14/2004","4,571.00","4,571.00","4,571.00","4,571.00","","0.42%"
"04/13/2004","4,552.00","4,552.00","4,552.00","4,552.00","","-0.31%"
"04/08/2004","4,566.00","4,566.00","4,566.00","4,566.00","","-0.83%"
"04/07/2004","4,604.00","4,604.00","4,604.00","4,604.00","","-0.58%"
"04/06/2004","4,631.00","4,631.00","4,631.00","4,631.00","","-0.94%"
"04/05/2004","4,675.00","4,675.00","4,675.00","4,675.00","","-0.87%"
"04/02/2004","4,716.00","4,716.00","4,716.00","4,716.00","","-0.99%"
"04/01/2004","4,763.00","4,763.00","4,763.00","4,763.00","","-1.22%"
"03/31/2004","4,822.00","4,822.00","4,822.00","4,822.00","","-1.31%"
"03/30/2004","4,886.00","4,886.00","4,886.00","4,886.00","","-0.83%"
"03/29/2004","4,927.00","4,927.00","4,927.00","4,927.00","","-0.65%"
"03/26/2004","4,959.00","4,959.00","4,959.00","4,959.00","","-0.80%"
"03/25/2004","4,999.00","4,999.00","4,999.00","4,999.00","","-0.68%"
"03/24/2004","5,033.00","5,033.00","5,033.00","5,033.00","","-0.22%"
"03/23/2004","5,044.00","5,044.00","5,044.00","5,044.00","","0.04%"
"03/22/2004","5,042.00","5,042.00","5,042.00","5,042.00","","-0.06%"
"03/19/2004","5,045.00","5,045.00","5,045.00","5,045.00","","-0.26%"
"03/18/2004","5,058.00","5,058.00","5,058.00","5,058.00","","-1.25%"
"03/17/2004","5,122.00","5,122.00","5,122.00","5,122.00","","-1.58%"
"03/16/2004","5,204.00","5,204.00","5,204.00","5,204.00","","-1.44%"
"03/15/2004","5,280.00","5,280.00","5,280.00","5,280.00","","-1.35%"
"03/12/2004","5,352.00","5,352.00","5,352.00","5,352.00","","-0.59%"
"03/11/2004","5,384.00","5,384.00","5,384.00","5,384.00","","0.04%"
"03/10/2004","5,382.00","5,382.00","5,382.00","5,382.00","","0.71%"
"03/09/2004","5,344.00","5,344.00","5,344.00","5,344.00","","0.83%"
"03/08/2004","5,300.00","5,300.00","5,300.00","5,300.00","","1.24%"
"03/05/2004","5,235.00","5,235.00","5,235.00","5,235.00","","1.95%"
"03/04/2004","5,135.00","5,135.00","5,135.00","5,135.00","","0.51%"
"03/03/2004","5,109.00","5,109.00","5,109.00","5,109.00","","-0.80%"
"03/02/2004","5,150.00","5,150.00","5,150.00","5,150.00","","-1.06%"
"03/01/2004","5,205.00","5,205.00","5,205.00","5,205.00","","-1.10%"
"02/27/2004","5,263.00","5,263.00","5,263.00","5,263.00","","-1.02%"
"02/26/2004","5,317.00","5,317.00","5,317.00","5,317.00","","-1.43%"
"02/25/2004","5,394.00","5,394.00","5,394.00","5,394.00","","-1.71%"
"02/24/2004","5,488.00","5,488.00","5,488.00","5,488.00","","-0.87%"
"02/23/2004","5,536.00","5,536.00","5,536.00","5,536.00","","0.36%"
"02/20/2004","5,516.00","5,516.00","5,516.00","5,516.00","","1.01%"
"02/19/2004","5,461.00","5,461.00","5,461.00","5,461.00","","1.58%"
"02/18/2004","5,376.00","5,376.00","5,376.00","5,376.00","","1.63%"
"02/17/2004","5,290.00","5,290.00","5,290.00","5,290.00","","0.76%"
"02/16/2004","5,250.00","5,250.00","5,250.00","5,250.00","","0.15%"
"02/13/2004","5,242.00","5,242.00","5,242.00","5,242.00","","-0.64%"
"02/12/2004","5,276.00","5,276.00","5,276.00","5,276.00","","-1.66%"
"02/11/2004","5,365.00","5,365.00","5,365.00","5,365.00","","-1.70%"
"02/10/2004","5,458.00","5,458.00","5,458.00","5,458.00","","-1.57%"
"02/09/2004","5,545.00","5,545.00","5,545.00","5,545.00","","-1.12%"
"02/06/2004","5,608.00","5,608.00","5,608.00","5,608.00","","-0.80%"
"02/05/2004","5,653.00","5,653.00","5,653.00","5,653.00","","-0.49%"
"02/04/2004","5,681.00","5,681.00","5,681.00","5,681.00","","0.30%"
"02/03/2004","5,664.00","5,664.00","5,664.00","5,664.00","","0.82%"
"02/02/2004","5,618.00","5,618.00","5,618.00","5,618.00","","1.21%"
"01/30/2004","5,551.00","5,551.00","5,551.00","5,551.00","","1.72%"
"01/29/2004","5,457.00","5,457.00","5,457.00","5,457.00","","2.19%"
"01/28/2004","5,340.00","5,340.00","5,340.00","5,340.00","","1.21%"
"01/27/2004","5,276.00","5,276.00","5,276.00","5,276.00","","0.27%"
"01/26/2004","5,262.00","5,262.00","5,262.00","5,262.00","","-0.21%"
"01/23/2004","5,273.00","5,273.00","5,273.00","5,273.00","","-0.49%"
"01/22/2004","5,299.00","5,299.00","5,299.00","5,299.00","","-0.86%"
"01/21/2004","5,345.00","5,345.00","5,345.00","5,345.00","","-1.35%"
"01/20/2004","5,418.00","5,418.00","5,418.00","5,418.00","","-1.15%"
"01/19/2004","5,481.00","5,481.00","5,481.00","5,481.00","","-0.22%"
"01/16/2004","5,493.00","5,493.00","5,493.00","5,493.00","","0.15%"
"01/15/2004","5,485.00","5,485.00","5,485.00","5,485.00","","0.48%"
"01/14/2004","5,459.00","5,459.00","5,459.00","5,459.00","","1.26%"
"01/13/2004","5,391.00","5,391.00","5,391.00","5,391.00","","2.57%"
"01/12/2004","5,256.00","5,256.00","5,256.00","5,256.00","","4.16%"
"01/09/2004","5,046.00","5,046.00","5,046.00","5,046.00","","2.96%"
"01/08/2004","4,901.00","4,901.00","4,901.00","4,901.00","","2.02%"
"01/07/2004","4,804.00","4,804.00","4,804.00","4,804.00","","0.84%"
"01/06/2004","4,764.00","4,764.00","4,764.00","4,764.00","","0.15%"
"01/05/2004","4,757.00","4,757.00","4,757.00","4,757.00","","-0.08%"
"01/02/2004","4,761.00","4,761.00","4,761.00","4,761.00","","-0.08%"
"12/24/2003","4,765.00","4,765.00","4,765.00","4,765.00","","0.08%"
"12/23/2003","4,761.00","4,761.00","4,761.00","4,761.00","","0.42%"
"12/22/2003","4,741.00","4,741.00","4,741.00","4,741.00","","0.42%"
"12/19/2003","4,721.00","4,721.00","4,721.00","4,721.00","","0.58%"
"12/18/2003","4,694.00","4,694.00","4,694.00","4,694.00","","0.41%"
"12/17/2003","4,675.00","4,675.00","4,675.00","4,675.00","","0.15%"
"12/16/2003","4,668.00","4,668.00","4,668.00","4,668.00","","0.21%"
"12/15/2003","4,658.00","4,658.00","4,658.00","4,658.00","","0.43%"
"12/12/2003","4,638.00","4,638.00","4,638.00","4,638.00","","0.65%"
"12/11/2003","4,608.00","4,608.00","4,608.00","4,608.00","","0.83%"
"12/10/2003","4,570.00","4,570.00","4,570.00","4,570.00","","0.68%"
"12/09/2003","4,539.00","4,539.00","4,539.00","4,539.00","","0.29%"
"12/08/2003","4,526.00","4,526.00","4,526.00","4,526.00","","0.24%"
"12/05/2003","4,515.00","4,515.00","4,515.00","4,515.00","","0.49%"
"12/04/2003","4,493.00","4,493.00","4,493.00","4,493.00","","0.20%"
"12/03/2003","4,484.00","4,484.00","4,484.00","4,484.00","","0.45%"
"12/02/2003","4,464.00","4,464.00","4,464.00","4,464.00","","0.50%"
"12/01/2003","4,442.00","4,442.00","4,442.00","4,442.00","","0.57%"
"11/28/2003","4,417.00","4,417.00","4,417.00","4,417.00","","0.89%"
"11/27/2003","4,378.00","4,378.00","4,378.00","4,378.00","","1.13%"
"11/26/2003","4,329.00","4,329.00","4,329.00","4,329.00","","1.69%"
"11/25/2003","4,257.00","4,257.00","4,257.00","4,257.00","","1.53%"
"11/24/2003","4,193.00","4,193.00","4,193.00","4,193.00","","1.18%"
"11/21/2003","4,144.00","4,144.00","4,144.00","4,144.00","","1.67%"
"11/20/2003","4,076.00","4,076.00","4,076.00","4,076.00","","1.17%"
"11/19/2003","4,029.00","4,029.00","4,029.00","4,029.00","","0.07%"
"11/18/2003","4,026.00","4,026.00","4,026.00","4,026.00","","-0.49%"
"11/17/2003","4,046.00","4,046.00","4,046.00","4,046.00","","-0.78%"
"11/14/2003","4,078.00","4,078.00","4,078.00","4,078.00","","-1.55%"
"11/13/2003","4,142.00","4,142.00","4,142.00","4,142.00","","-1.50%"
"11/12/2003","4,205.00","4,205.00","4,205.00","4,205.00","","-0.90%"
"11/11/2003","4,243.00","4,243.00","4,243.00","4,243.00","","-0.73%"
"11/10/2003","4,274.00","4,274.00","4,274.00","4,274.00","","-0.79%"
"11/07/2003","4,308.00","4,308.00","4,308.00","4,308.00","","-0.94%"
"11/06/2003","4,349.00","4,349.00","4,349.00","4,349.00","","-1.87%"
"11/05/2003","4,432.00","4,432.00","4,432.00","4,432.00","","-2.03%"
"11/04/2003","4,524.00","4,524.00","4,524.00","4,524.00","","-0.75%"
"11/03/2003","4,558.00","4,558.00","4,558.00","4,558.00","","0.07%"
"10/31/2003","4,555.00","4,555.00","4,555.00","4,555.00","","-0.11%"
"10/30/2003","4,560.00","4,560.00","4,560.00","4,560.00","","0.22%"
"10/29/2003","4,550.00","4,550.00","4,550.00","4,550.00","","0.07%"
"10/28/2003","4,547.00","4,547.00","4,547.00","4,547.00","","0.18%"
"10/27/2003","4,539.00","4,539.00","4,539.00","4,539.00","","0.49%"
"10/24/2003","4,517.00","4,517.00","4,517.00","4,517.00","","0.04%"
"10/23/2003","4,515.00","4,515.00","4,515.00","4,515.00","","0.02%"
"10/22/2003","4,514.00","4,514.00","4,514.00","4,514.00","","0.83%"
"10/21/2003","4,477.00","4,477.00","4,477.00","4,477.00","","1.27%"
"10/20/2003","4,421.00","4,421.00","4,421.00","4,421.00","","1.33%"
"10/17/2003","4,363.00","4,363.00","4,363.00","4,363.00","","1.37%"
"10/16/2003","4,304.00","4,304.00","4,304.00","4,304.00","","0.42%"
"10/15/2003","4,286.00","4,286.00","4,286.00","4,286.00","","-0.30%"
"10/14/2003","4,299.00","4,299.00","4,299.00","4,299.00","","0.68%"
"10/13/2003","4,270.00","4,270.00","4,270.00","4,270.00","","1.86%"
"10/10/2003","4,192.00","4,192.00","4,192.00","4,192.00","","3.53%"
"10/09/2003","4,049.00","4,049.00","4,049.00","4,049.00","","5.75%"
"10/08/2003","3,829.00","3,829.00","3,829.00","3,829.00","","4.39%"
"10/07/2003","3,668.00","3,668.00","3,668.00","3,668.00","","3.94%"
"10/06/2003","3,529.00","3,529.00","3,529.00","3,529.00","","4.66%"
"10/03/2003","3,372.00","3,372.00","3,372.00","3,372.00","","3.91%"
"10/02/2003","3,245.00","3,245.00","3,245.00","3,245.00","","3.41%"
"10/01/2003","3,138.00","3,138.00","3,138.00","3,138.00","","4.84%"
"09/30/2003","2,993.00","2,993.00","2,993.00","2,993.00","","4.29%"
"09/29/2003","2,870.00","2,870.00","2,870.00","2,870.00","","2.65%"
"09/26/2003","2,796.00","2,796.00","2,796.00","2,796.00","","3.21%"
"09/25/2003","2,709.00","2,709.00","2,709.00","2,709.00","","3.99%"
"09/24/2003","2,605.00","2,605.00","2,605.00","2,605.00","","2.60%"
"09/23/2003","2,539.00","2,539.00","2,539.00","2,539.00","","1.52%"
"09/22/2003","2,501.00","2,501.00","2,501.00","2,501.00","","1.38%"
"09/19/2003","2,467.00","2,467.00","2,467.00","2,467.00","","1.48%"
"09/18/2003","2,431.00","2,431.00","2,431.00","2,431.00","","0.96%"
"09/17/2003","2,408.00","2,408.00","2,408.00","2,408.00","","0.63%"
"09/16/2003","2,393.00","2,393.00","2,393.00","2,393.00","","0.59%"
"09/15/2003","2,379.00","2,379.00","2,379.00","2,379.00","","0.63%"
"09/12/2003","2,364.00","2,364.00","2,364.00","2,364.00","","0.51%"
"09/11/2003","2,352.00","2,352.00","2,352.00","2,352.00","","0.47%"
"09/10/2003","2,341.00","2,341.00","2,341.00","2,341.00","","0.60%"
"09/09/2003","2,327.00","2,327.00","2,327.00","2,327.00","","0.30%"
"09/08/2003","2,320.00","2,320.00","2,320.00","2,320.00","","0.69%"
"09/05/2003","2,304.00","2,304.00","2,304.00","2,304.00","","0.88%"
"09/04/2003","2,284.00","2,284.00","2,284.00","2,284.00","","0.48%"
"09/03/2003","2,273.00","2,273.00","2,273.00","2,273.00","","0.35%"
"09/02/2003","2,265.00","2,265.00","2,265.00","2,265.00","","0.13%"
"09/01/2003","2,262.00","2,262.00","2,262.00","2,262.00","","-0.13%"
"08/29/2003","2,265.00","2,265.00","2,265.00","2,265.00","","-0.31%"
"08/28/2003","2,272.00","2,272.00","2,272.00","2,272.00","","-0.53%"
"08/27/2003","2,284.00","2,284.00","2,284.00","2,284.00","","-0.57%"
"08/26/2003","2,297.00","2,297.00","2,297.00","2,297.00","","-0.73%"
"08/22/2003","2,314.00","2,314.00","2,314.00","2,314.00","","-0.34%"
"08/21/2003","2,322.00","2,322.00","2,322.00","2,322.00","","-0.39%"
"08/20/2003","2,331.00","2,331.00","2,331.00","2,331.00","","-0.38%"
"08/19/2003","2,340.00","2,340.00","2,340.00","2,340.00","","-0.13%"
"08/18/2003","2,343.00","2,343.00","2,343.00","2,343.00","","0.00%"
"08/15/2003","2,343.00","2,343.00","2,343.00","2,343.00","","0.30%"
"08/14/2003","2,336.00","2,336.00","2,336.00","2,336.00","","0.43%"
"08/13/2003","2,326.00","2,326.00","2,326.00","2,326.00","","0.52%"
"08/12/2003","2,314.00","2,314.00","2,314.00","2,314.00","","0.70%"
"08/11/2003","2,298.00","2,298.00","2,298.00","2,298.00","","0.48%"
"08/08/2003","2,287.00","2,287.00","2,287.00","2,287.00","","1.11%"
"08/07/2003","2,262.00","2,262.00","2,262.00","2,262.00","","1.43%"
"08/06/2003","2,230.00","2,230.00","2,230.00","2,230.00","","1.46%"
"08/05/2003","2,198.00","2,198.00","2,198.00","2,198.00","","0.78%"
"08/04/2003","2,181.00","2,181.00","2,181.00","2,181.00","","0.23%"
"08/01/2003","2,176.00","2,176.00","2,176.00","2,176.00","","-0.23%"
"07/31/2003","2,181.00","2,181.00","2,181.00","2,181.00","","-0.23%"
"07/30/2003","2,186.00","2,186.00","2,186.00","2,186.00","","-0.50%"
"07/29/2003","2,197.00","2,197.00","2,197.00","2,197.00","","-0.27%"
"07/28/2003","2,203.00","2,203.00","2,203.00","2,203.00","","-0.14%"
"07/25/2003","2,206.00","2,206.00","2,206.00","2,206.00","","-0.09%"
"07/24/2003","2,208.00","2,208.00","2,208.00","2,208.00","","-0.14%"
"07/23/2003","2,211.00","2,211.00","2,211.00","2,211.00","","-0.36%"
"07/22/2003","2,219.00","2,219.00","2,219.00","2,219.00","","-0.45%"
"07/21/2003","2,229.00","2,229.00","2,229.00","2,229.00","","-0.22%"
"07/18/2003","2,234.00","2,234.00","2,234.00","2,234.00","","-0.09%"
"07/17/2003","2,236.00","2,236.00","2,236.00","2,236.00","","-0.18%"
"07/16/2003","2,240.00","2,240.00","2,240.00","2,240.00","","0.09%"
"07/15/2003","2,238.00","2,238.00","2,238.00","2,238.00","","0.31%"
"07/14/2003","2,231.00","2,231.00","2,231.00","2,231.00","","0.63%"
"07/11/2003","2,217.00","2,217.00","2,217.00","2,217.00","","1.05%"
"07/10/2003","2,194.00","2,194.00","2,194.00","2,194.00","","1.20%"
"07/09/2003","2,168.00","2,168.00","2,168.00","2,168.00","","0.60%"
"07/08/2003","2,155.00","2,155.00","2,155.00","2,155.00","","0.56%"
"07/07/2003","2,143.00","2,143.00","2,143.00","2,143.00","","0.28%"
"07/04/2003","2,137.00","2,137.00","2,137.00","2,137.00","","0.28%"
"07/03/2003","2,131.00","2,131.00","2,131.00","2,131.00","","0.19%"
"07/02/2003","2,127.00","2,127.00","2,127.00","2,127.00","","0.19%"
"07/01/2003","2,123.00","2,123.00","2,123.00","2,123.00","","-0.09%"
"06/30/2003","2,125.00","2,125.00","2,125.00","2,125.00","","-0.09%"
